time,H986,H1222,H1827,H3434
215643601.0000,31.27202947,31.65082664,31.97174380,32.17007864
216958501.0000,31.27202914,31.65082628,31.97174342,32.17007826
218273401.0000,31.27202888,31.65082600,31.97174313,32.17007797
219588301.0000,31.27202856,31.65082564,31.97174276,32.17007760
220903201.0000,31.27202830,31.65082536,31.97174247,32.17007731
222218101.0000,31.27202798,31.65082501,31.97174210,32.17007694
223533001.0000,31.27202772,31.65082473,31.97174181,32.17007666
224847901.0000,31.27202740,31.65082439,31.97174144,32.17007630
226162801.0000,31.27202715,31.65082411,31.97174116,32.17007602
227477701.0000,31.27202683,31.65082376,31.97174080,32.17007565
228792601.0000,31.27202658,31.65082349,31.97174052,32.17007538
230107501.0000,31.27202626,31.65082315,31.97174015,32.17007502
231422401.0000,31.27202601,31.65082288,31.97173988,32.17007474
232737301.0000,31.27202570,31.65082253,31.97173952,32.17007439
234052201.0000,31.27202545,31.65082226,31.97173924,32.17007412
235367101.0000,31.27202513,31.65082193,31.97173889,32.17007376
236682001.0000,31.27202488,31.65082166,31.97173862,32.17007349
237996901.0000,31.27202458,31.65082132,31.97173826,32.17007314
239311801.0000,31.27202433,31.65082106,31.97173799,32.17007288
240626701.0000,31.27202402,31.65082072,31.97173764,32.17007253
241941601.0000,31.27202377,31.65082046,31.97173737,32.17007227
243256501.0000,31.27202347,31.65082013,31.97173703,32.17007192
244571401.0000,31.27202322,31.65081987,31.97173676,32.17007166
245886301.0000,31.27202292,31.65081954,31.97173641,32.17007132
247201201.0000,31.27202268,31.65081928,31.97173615,32.17007106
248516101.0000,31.27202237,31.65081895,31.97173581,32.17007072
249831001.0000,31.27202213,31.65081869,31.97173555,32.17007046
251145901.0000,31.27202183,31.65081837,31.97173521,32.17007013
252460801.0000,31.27202159,31.65081811,31.97173495,32.17006987
253775701.0000,31.27202129,31.65081779,31.97173461,32.17006954
255090601.0000,31.27202106,31.65081754,31.97173436,32.17006929
256405501.0000,31.27202076,31.65081722,31.97173402,32.17006895
257720401.0000,31.27202052,31.65081696,31.97173377,32.17006870
259035301.0000,31.27202023,31.65081665,31.97173343,32.17006838
