time,T1038,T2571,T4587,T6376,T7640,T9105,T9625,T9989,T10169
82838701.00000,13.40190468,19.22541734,20.83257037,15.28690530,17.14437518,16.00000561,16.00000020,16.00000003,16.00000112
84153601.00000,11.38797799,16.35088628,20.74772967,15.86909420,17.11012288,16.00000592,16.00000019,16.00000003,16.00000110
85468501.00000,11.05487220,13.86195609,20.35812217,16.50572428,17.08798756,16.00000643,16.00000017,16.00000003,16.00000108
86783401.00000,11.00768159,12.31935918,19.58334143,17.14650164,17.07665826,16.00000721,16.00000016,16.00000003,16.00000107
88098301.00000,11.00112986,11.54564421,18.44693829,17.75333571,17.07450497,16.00000836,16.00000014,16.00000003,16.00000105
89413201.00000,11.00017754,11.20901746,17.08612679,18.29283268,17.07809033,16.00001001,16.00000013,16.00000003,16.00000103
90728101.00000,11.00002754,11.07608504,15.68849577,18.73262358,17.08218219,16.00001237,16.00000011,16.00000003,16.00000101
92043001.00000,11.00000183,11.02688432,14.41754064,19.03688268,17.08707031,16.00001570,16.00000010,16.00000003,16.00000099
93357901.00000,10.99999663,11.00940713,13.37028154,19.19438630,17.09280770,16.00002033,16.00000008,16.00000002,16.00000098
94672801.00000,10.99999579,11.00333678,12.57421482,19.18328709,17.09619807,16.00002666,16.00000006,16.00000002,16.00000096
95987701.00000,18.59797127,12.77516271,12.03714321,19.10134243,17.09593437,16.00003519,16.00000005,16.00000002,16.00000094
97302601.00000,20.61189922,15.64902195,11.82811732,18.89893180,17.09212527,16.00004656,16.00000003,16.00000002,16.00000092
98617501.00000,20.94500518,18.13774815,11.98280077,18.50378181,17.08462535,16.00006157,16.00000001,16.00000002,16.00000090
99932401.00000,20.99219720,19.68027942,12.60380259,17.94318514,17.07238068,16.00008123,16.00000000,16.00000002,16.00000088
101247301.0000,20.99874895,20.45397665,13.65547923,17.27891013,17.05405155,16.00010677,15.99999998,16.00000002,16.00000086
102562201.0000,20.99970196,20.79059544,14.96955687,16.57208964,17.02859448,16.00013973,15.99999996,16.00000001,16.00000085
103877101.0000,20.99985042,20.92352821,16.34177047,15.88227247,16.99548005,16.00018197,15.99999994,16.00000001,16.00000083
105192001.0000,20.99987517,20.97272648,17.59898947,15.27086251,16.95547286,16.00023576,15.99999992,16.00000001,16.00000081
106506901.0000,20.99987884,20.99020515,18.63882142,14.79329363,16.91090347,16.00030385,15.99999990,16.00000001,16.00000079
107821801.0000,20.99987976,20.99627283,19.43083679,14.49145206,16.86453142,16.00038951,15.99999988,16.00000001,16.00000077
109136701.0000,20.99987948,20.99836516,19.99495081,14.37671936,16.81870114,16.00049665,15.99999986,16.00000001,16.00000075
110451601.0000,20.99987973,20.99908801,20.37534539,14.42553018,16.78066242,16.00062988,15.99999984,16.00000000,16.00000073
111766501.0000,20.99987935,20.99934395,20.62072350,14.55625775,16.75233217,16.00079460,15.99999982,16.00000000,16.00000071
113081401.0000,20.99987959,20.99943425,20.77348683,14.82559599,16.73425714,16.00099711,15.99999980,16.00000000,16.00000069
114396301.0000,13.40190497,19.22540866,20.83253930,15.28681134,16.72709466,16.00124470,15.99999978,16.00000000,16.00000067
115711201.0000,11.38797690,16.35088738,20.74770277,15.86899244,16.73039016,16.00154572,15.99999976,16.00000000,16.00000066
117026101.0000,11.05487060,13.86195883,20.35810639,16.50561929,16.73549568,16.00190970,15.99999973,15.99999999,16.00000064
118341001.0000,11.00767995,12.31935926,19.58333766,17.14639700,16.74422078,16.00234743,15.99999971,15.99999999,16.00000062
119655901.0000,11.00112837,11.54564116,18.44694551,17.75323454,16.75800911,16.00287099,15.99999969,15.99999999,16.00000060
120970801.0000,11.00017616,11.20901263,17.08614199,18.29273805,16.77738025,16.00349386,15.99999966,15.99999999,16.00000058
122285701.0000,11.00002634,11.07607943,15.68851453,18.73253774,16.80149176,16.00423094,15.99999964,15.99999999,16.00000056
123600601.0000,11.00000070,11.02687873,14.41755900,19.03680829,16.83100394,16.00509855,15.99999962,15.99999998,16.00000054
124915501.0000,10.99999563,11.00940170,13.37029671,19.19432410,16.86559779,16.00611447,15.99999959,15.99999998,16.00000052
126230401.0000,10.99999491,11.00333176,12.57422570,19.18323829,16.89676579,16.00729794,15.99999957,15.99999998,16.00000050
127545301.0000,18.59796716,12.77515008,12.03714924,19.10129830,16.92118367,16.00866960,15.99999954,15.99999998,16.00000048
128860201.0000,20.61189688,15.64900346,11.82811742,18.89889861,16.93722744,16.01025153,15.99999952,15.99999998,16.00000046
130175101.0000,20.94500388,18.13773013,11.98279522,18.50376431,16.94341207,16.01206709,15.99999950,15.99999997,16.00000045
131490001.0000,20.99219624,19.68026550,12.60378747,17.94317968,16.94126510,16.01414078,15.99999947,15.99999997,16.00000043
132804901.0000,20.99874828,20.45396666,13.65545569,17.27891347,16.93660018,16.01649802,15.99999945,15.99999997,16.00000041
134119801.0000,20.99970141,20.79058845,14.96952791,16.57209856,16.92778104,16.01916489,15.99999942,15.99999997,16.00000039
135434701.0000,20.99985004,20.92352298,16.34173998,15.88228379,16.91352935,16.02216792,15.99999939,15.99999997,16.00000037
136749601.0000,20.99987485,20.97272259,17.59896114,15.27087314,16.89347812,16.02553373,15.99999937,15.99999996,16.00000035
138064501.0000,20.99987871,20.99020202,18.63879756,14.79330020,16.86590152,16.02928873,15.99999934,15.99999996,16.00000033
139379401.0000,20.99987975,20.99627051,19.43081848,14.49145289,16.83236648,16.03345878,15.99999932,15.99999996,16.00000032
140694301.0000,20.99987969,20.99836338,19.99493789,14.37671314,16.79532115,16.03806882,15.99999929,15.99999996,16.00000030
142009201.0000,20.99988007,20.99908695,20.37533727,14.42552103,16.76297899,16.04314252,15.99999926,15.99999995,16.00000028
143324101.0000,20.99987990,20.99934340,20.62071920,14.55624238,16.73827535,16.04870196,15.99999924,15.99999995,16.00000026
144639001.0000,20.99988026,20.99943440,20.77348559,14.82557167,16.72249429,16.05476721,15.99999921,15.99999995,16.00000024
145953901.0000,13.40190751,19.22541499,20.83254071,15.28677758,16.71685402,16.06135608,15.99999918,15.99999995,16.00000023
147268801.0000,11.38797818,16.35089835,20.74770700,15.86895300,16.71930883,16.06848371,15.99999916,15.99999995,16.00000021
148583701.0000,11.05487144,13.86196930,20.35811710,16.50557761,16.72420642,16.07616242,15.99999913,15.99999994,16.00000019
149898601.0000,11.00768071,12.31936691,19.58335552,17.14635575,16.73321455,16.08440138,15.99999910,15.99999994,16.00000017
151213501.0000,11.00112919,11.54564610,18.44696976,17.75319594,16.74767063,16.09320635,15.99999907,15.99999994,16.00000016
152528401.0000,11.00017701,11.20901605,17.08617044,18.29270415,16.76794341,16.10257961,15.99999905,15.99999994,16.00000014
153843301.0000,11.00002727,11.07608211,15.68854408,18.73251003,16.79527608,16.11251974,15.99999902,15.99999993,16.00000012
155158201.0000,11.00000166,11.02688127,14.41758697,19.03678847,16.82872019,16.12302136,15.99999899,15.99999993,16.00000010
156473101.0000,10.99999668,11.00940423,13.37032131,19.19431265,16.86588012,16.13407486,15.99999896,15.99999993,16.00000009
157788001.0000,10.99999599,11.00333448,12.57424635,19.18323607,16.89831338,16.14566619,15.99999893,15.99999993,16.00000007
159102901.0000,18.59796741,12.77514839,12.03716571,19.10129960,16.92314365,16.15777718,15.99999890,15.99999993,16.00000005
160417801.0000,20.61189856,15.64899914,11.82812918,18.89890767,16.93901806,16.17038587,15.99999887,15.99999992,16.00000003
161732701.0000,20.94500622,18.13772734,11.98280299,18.50378395,16.94471214,16.18346689,15.99999884,15.99999992,16.00000002
163047601.0000,20.99219875,19.68026630,12.60378812,17.94320713,16.94217583,16.19699187,15.99999881,15.99999992,16.00000000
164362501.0000,20.99875093,20.45397048,13.65545066,17.27894622,16.93723243,16.21092990,15.99999878,15.99999992,15.99999998
165677401.0000,20.99970412,20.79059440,14.96951973,16.57213412,16.92821743,16.22524792,15.99999876,15.99999991,15.99999997
166992301.0000,20.99985287,20.92353005,16.34173159,15.88231973,16.91382103,16.23991110,15.99999873,15.99999991,15.99999995
168307201.0000,20.99987774,20.97273046,17.59895520,15.27090716,16.89365128,16.25488335,15.99999870,15.99999991,15.99999993
169622101.0000,20.99988170,20.99021026,18.63879563,14.79332977,16.86668466,16.27012767,15.99999867,15.99999991,15.99999992
170937001.0000,20.99988280,20.99627919,19.43082117,14.49147700,16.83354486,16.28560652,15.99999864,15.99999990,15.99999990
172251901.0000,20.99988285,20.99837230,19.99494490,14.37673103,16.79662726,16.30128215,15.99999861,15.99999990,15.99999988
173566801.0000,20.99988328,20.99909626,20.37534797,14.42553686,16.76419424,16.31711687,15.99999858,15.99999990,15.99999987
174881701.0000,20.99988322,20.99935294,20.62073276,14.55625317,16.73930289,16.33307322,15.99999855,15.99999990,15.99999985
176196601.0000,20.99988363,20.99944432,20.77350134,14.82557531,16.72333268,16.34911413,15.99999852,15.99999989,15.99999984
177511501.0000,13.40191116,19.22542865,20.83255825,15.28677348,16.71754067,16.36520308,15.99999849,15.99999989,15.99999982
178826401.0000,11.38798060,16.35091412,20.74772669,15.86894433,16.72000486,16.38130402,15.99999846,15.99999989,15.99999980
180141301.0000,11.05487346,13.86198348,20.35814096,16.50556724,16.72489020,16.39738095,15.99999843,15.99999989,15.99999979
181456201.0000,11.00768264,12.31937817,19.58338411,17.14634581,16.73386638,16.41339911,15.99999840,15.99999988,15.99999977
182771101.0000,11.00113113,11.54565487,18.44700241,17.75318815,16.74827091,16.42932473,15.99999837,15.99999988,15.99999976
184086001.0000,11.00017895,11.20902340,17.08620538,18.29270006,16.76847959,16.44512584,15.99999834,15.99999988,15.99999974
185400901.0000,11.00002921,11.07608873,15.68857887,18.73251077,16.79560815,16.46077234,15.99999831,15.99999988,15.99999972
186715801.0000,11.00000363,11.02688766,14.41761955,19.03679527,16.82890193,16.47623540,15.99999828,15.99999987,15.99999971
188030701.0000,10.99999869,11.00941051,13.37035039,19.19432586,16.86596371,16.49148294,15.99999826,15.99999987,15.99999969
189345601.0000,10.99999798,11.00334083,12.57427160,19.18325637,16.89834521,16.50648200,15.99999823,15.99999987,15.99999968
190660501.0000,18.59796973,12.77515189,12.03718711,19.10132280,16.92314870,16.52120355,15.99999820,15.99999986,15.99999966
191975401.0000,20.61190212,15.64900157,11.82814646,18.89893699,16.93901469,16.53562236,15.99999817,15.99999986,15.99999965
193290301.0000,20.94501025,18.13773177,11.98281710,18.50382127,16.94471613,16.54971678,15.99999815,15.99999986,15.99999963
194605201.0000,20.99220287,19.68027400,12.60379633,17.94325012,16.94220024,16.56346848,15.99999812,15.99999986,15.99999962
195920101.0000,20.99875511,20.45398070,13.65545455,17.27899272,16.93727255,16.57686227,15.99999810,15.99999985,15.99999960
197235001.0000,20.99970830,20.79060629,14.96952153,16.57218204,16.92826844,16.58988589,15.99999807,15.99999985,15.99999959
198549901.0000,20.99985716,20.92354272,16.34173378,15.88236702,16.91387782,16.60252973,15.99999805,15.99999985,15.99999957
199864801.0000,20.99988207,20.97274363,17.59895991,15.27095195,16.89370983,16.61478664,15.99999802,15.99999985,15.99999956
201179701.0000,20.99988610,20.99022360,18.63880402,14.79336995,16.86667840,16.62665170,15.99999800,15.99999984,15.99999954
202494601.0000,20.99988722,20.99629278,19.43083362,14.49151190,16.83349644,16.63812194,15.99999798,15.99999984,15.99999953
203809501.0000,20.99988732,20.99838595,19.99496103,14.37676019,16.79655907,16.64919614,15.99999796,15.99999984,15.99999951
205124401.0000,20.99988776,20.99911013,20.37536720,14.42556434,16.76412321,16.65987460,15.99999795,15.99999984,15.99999950
206439301.0000,20.99988775,20.99936688,20.62075430,14.55627621,16.73923948,16.67015903,15.99999793,15.99999983,15.99999948
