time,H1038,H2571,H4587,H6376,H7640,H9105,H9625,H9989,H10169
214328701.0000,30.50614476,30.18370318,29.90847126,29.66728810,29.35651838,29.03448563,28.73983343,28.45469928,28.18733711
215643601.0000,30.50614417,30.18370262,29.90847073,29.66728762,29.35651797,29.03448532,28.73983322,28.45469916,28.18733707
216958501.0000,30.50614326,30.18370173,29.90846990,29.66728687,29.35651733,29.03448483,28.73983288,28.45469898,28.18733702
218273401.0000,30.50614268,30.18370117,29.90846938,29.66728639,29.35651693,29.03448452,28.73983267,28.45469886,28.18733698
219588301.0000,30.50614176,30.18370029,29.90846855,29.66728563,29.35651629,29.03448404,28.73983234,28.45469867,28.18733693
220903201.0000,30.50614118,30.18369973,29.90846803,29.66728516,29.35651589,29.03448373,28.73983213,28.45469856,28.18733689
222218101.0000,30.50614027,30.18369886,29.90846721,29.66728441,29.35651526,29.03448324,28.73983179,28.45469837,28.18733684
223533001.0000,30.50613970,30.18369830,29.90846669,29.66728393,29.35651486,29.03448294,28.73983158,28.45469826,28.18733680
224847901.0000,30.50613879,30.18369743,29.90846587,29.66728318,29.35651423,29.03448245,28.73983125,28.45469807,28.18733675
226162801.0000,30.50613822,30.18369688,29.90846536,29.66728271,29.35651383,29.03448215,28.73983104,28.45469796,28.18733671
227477701.0000,30.50613732,30.18369600,29.90846454,29.66728197,29.35651320,29.03448167,28.73983071,28.45469777,28.18733666
228792601.0000,30.50613675,30.18369546,29.90846403,29.66728150,29.35651281,29.03448136,28.73983050,28.45469766,28.18733663
230107501.0000,30.50613585,30.18369459,29.90846322,29.66728076,29.35651218,29.03448088,28.73983017,28.45469748,28.18733657
231422401.0000,30.50613529,30.18369404,29.90846271,29.66728029,29.35651179,29.03448058,28.73982996,28.45469736,28.18733654
232737301.0000,30.50613439,30.18369318,29.90846190,29.66727955,29.35651117,29.03448010,28.73982963,28.45469718,28.18733648
234052201.0000,30.50613383,30.18369264,29.90846139,29.66727908,29.35651077,29.03447980,28.73982943,28.45469707,28.18733645
235367101.0000,30.50613294,30.18369178,29.90846058,29.66727835,29.35651015,29.03447933,28.73982910,28.45469689,28.18733640
236682001.0000,30.50613238,30.18369124,29.90846008,29.66727789,29.35650976,29.03447903,28.73982889,28.45469677,28.18733636
237996901.0000,30.50613149,30.18369038,29.90845927,29.66727715,29.35650914,29.03447855,28.73982857,28.45469659,28.18733631
239311801.0000,30.50613093,30.18368984,29.90845877,29.66727669,29.35650876,29.03447826,28.73982836,28.45469648,28.18733627
240626701.0000,30.50613005,30.18368899,29.90845797,29.66727596,29.35650814,29.03447778,28.73982804,28.45469630,28.18733622
241941601.0000,30.50612950,30.18368845,29.90845747,29.66727550,29.35650775,29.03447749,28.73982783,28.45469619,28.18733619
243256501.0000,30.50612862,30.18368760,29.90845668,29.66727478,29.35650714,29.03447702,28.73982751,28.45469601,28.18733613
244571401.0000,30.50612806,30.18368707,29.90845618,29.66727432,29.35650675,29.03447672,28.73982731,28.45469590,28.18733610
245886301.0000,30.50612719,30.18368623,29.90845538,29.66727359,29.35650614,29.03447625,28.73982698,28.45469572,28.18733605
247201201.0000,30.50612664,30.18368570,29.90845489,29.66727314,29.35650576,29.03447596,28.73982678,28.45469561,28.18733601
248516101.0000,30.50612577,30.18368486,29.90845410,29.66727242,29.35650515,29.03447549,28.73982646,28.45469543,28.18733596
249831001.0000,30.50612522,30.18368433,29.90845361,29.66727197,29.35650477,29.03447520,28.73982626,28.45469532,28.18733593
251145901.0000,30.50612435,30.18368349,29.90845282,29.66727125,29.35650416,29.03447473,28.73982594,28.45469514,28.18733588
252460801.0000,30.50612381,30.18368297,29.90845233,29.66727080,29.35650378,29.03447444,28.73982574,28.45469503,28.18733584
253775701.0000,30.50612294,30.18368213,29.90845155,29.66727008,29.35650318,29.03447398,28.73982542,28.45469485,28.18733579
255090601.0000,30.50612240,30.18368161,29.90845106,29.66726964,29.35650280,29.03447369,28.73982522,28.45469474,28.18733576
256405501.0000,30.50612154,30.18368078,29.90845028,29.66726892,29.35650220,29.03447323,28.73982490,28.45469457,28.18733570
257720401.0000,30.50612101,30.18368026,29.90844979,29.66726848,29.35650182,29.03447294,28.73982471,28.45469446,28.18733567
259035301.0000,30.50612015,30.18367943,29.90844902,29.66726777,29.35650123,29.03447248,28.73982439,28.45469428,28.18733562
260350201.0000,30.50611961,30.18367891,29.90844853,29.66726733,29.35650085,29.03447219,28.73982419,28.45469417,28.18733559
261665101.0000,30.50611876,30.18367809,29.90844776,29.66726662,29.35650025,29.03447173,28.73982388,28.45469400,28.18733554
262980001.0000,30.50611823,30.18367757,29.90844728,29.66726618,29.35649988,29.03447145,28.73982368,28.45469389,28.18733550
264294901.0000,30.50611737,30.18367675,29.90844651,29.66726547,29.35649929,29.03447099,28.73982337,28.45469372,28.18733545
265609801.0000,30.50611685,30.18367624,29.90844603,29.66726504,29.35649892,29.03447071,28.73982317,28.45469361,28.18733542
266924701.0000,30.50611600,30.18367542,29.90844526,29.66726433,29.35649832,29.03447025,28.73982286,28.45469344,28.18733537
268239601.0000,30.50611547,30.18367492,29.90844479,29.66726390,29.35649796,29.03446997,28.73982266,28.45469333,28.18733534
269554501.0000,30.50611463,30.18367410,29.90844402,29.66726320,29.35649737,29.03446952,28.73982235,28.45469316,28.18733528
270869401.0000,30.50611410,30.18367359,29.90844355,29.66726276,29.35649700,29.03446924,28.73982216,28.45469305,28.18733525
272184301.0000,30.50611326,30.18367278,29.90844279,29.66726207,29.35649641,29.03446878,28.73982185,28.45469288,28.18733520
273499201.0000,30.50611274,30.18367228,29.90844231,29.66726164,29.35649605,29.03446850,28.73982165,28.45469277,28.18733517
274814101.0000,30.50611191,30.18367147,29.90844156,29.66726094,29.35649546,29.03446805,28.73982134,28.45469260,28.18733512
276129001.0000,30.50611139,30.18367097,29.90844109,29.66726051,29.35649510,29.03446778,28.73982115,28.45469250,28.18733509
277443901.0000,30.50611055,30.18367017,29.90844033,29.66725982,29.35649452,29.03446733,28.73982084,28.45469233,28.18733504
278758801.0000,30.50611004,30.18366967,29.90843987,29.66725940,29.35649415,29.03446705,28.73982065,28.45469222,28.18733500
280073701.0000,30.50610921,30.18366887,29.90843911,29.66725871,29.35649357,29.03446661,28.73982035,28.45469205,28.18733495
281388601.0000,30.50610869,30.18366837,29.90843865,29.66725828,29.35649321,29.03446633,28.73982016,28.45469195,28.18733492
