time,RIVERLOSS
178826401.0000,.3000000000000000E+31
180141301.0000,.3000000000000000E+31
181456201.0000,.3000000000000000E+31
182771101.0000,.3000000000000000E+31
184086001.0000,.3000000000000000E+31
185400901.0000,.3000000000000000E+31
186715801.0000,.3000000000000000E+31
188030701.0000,.3000000000000000E+31
189345601.0000,.3000000000000000E+31
190660501.0000,.3000000000000000E+31
191975401.0000,.3000000000000000E+31
193290301.0000,.3000000000000000E+31
194605201.0000,.3000000000000000E+31
195920101.0000,.3000000000000000E+31
197235001.0000,.3000000000000000E+31
198549901.0000,.3000000000000000E+31
199864801.0000,.3000000000000000E+31
201179701.0000,.3000000000000000E+31
202494601.0000,.3000000000000000E+31
203809501.0000,.3000000000000000E+31
205124401.0000,.3000000000000000E+31
206439301.0000,.3000000000000000E+31
207754201.0000,.3000000000000000E+31
209069101.0000,.3000000000000000E+31
210384001.0000,.3000000000000000E+31
211698901.0000,.3000000000000000E+31
213013801.0000,.3000000000000000E+31
214328701.0000,.3000000000000000E+31
215643601.0000,.3000000000000000E+31
216958501.0000,.3000000000000000E+31
218273401.0000,.3000000000000000E+31
219588301.0000,.3000000000000000E+31
220903201.0000,.3000000000000000E+31
222218101.0000,.3000000000000000E+31
223533001.0000,.3000000000000000E+31
224847901.0000,.3000000000000000E+31
226162801.0000,.3000000000000000E+31
227477701.0000,.3000000000000000E+31
228792601.0000,.3000000000000000E+31
230107501.0000,.3000000000000000E+31
231422401.0000,.3000000000000000E+31
232737301.0000,.3000000000000000E+31
234052201.0000,.3000000000000000E+31
235367101.0000,.3000000000000000E+31
236682001.0000,.3000000000000000E+31
237996901.0000,.3000000000000000E+31
239311801.0000,.3000000000000000E+31
240626701.0000,.3000000000000000E+31
241941601.0000,.3000000000000000E+31
243256501.0000,.3000000000000000E+31
244571401.0000,.3000000000000000E+31
245886301.0000,.3000000000000000E+31
247201201.0000,.3000000000000000E+31
248516101.0000,.3000000000000000E+31
249831001.0000,.3000000000000000E+31
251145901.0000,.3000000000000000E+31
252460801.0000,.3000000000000000E+31
253775701.0000,.3000000000000000E+31
255090601.0000,.3000000000000000E+31
256405501.0000,.3000000000000000E+31
257720401.0000,.3000000000000000E+31
259035301.0000,.3000000000000000E+31
260350201.0000,.3000000000000000E+31
261665101.0000,.3000000000000000E+31
262980001.0000,.3000000000000000E+31
264294901.0000,.3000000000000000E+31
265609801.0000,.3000000000000000E+31
266924701.0000,.3000000000000000E+31
268239601.0000,.3000000000000000E+31
269554501.0000,.3000000000000000E+31
270869401.0000,.3000000000000000E+31
272184301.0000,.3000000000000000E+31
273499201.0000,.3000000000000000E+31
274814101.0000,.3000000000000000E+31
276129001.0000,.3000000000000000E+31
277443901.0000,.3000000000000000E+31
278758801.0000,.3000000000000000E+31
280073701.0000,.3000000000000000E+31
281388601.0000,.3000000000000000E+31
282703501.0000,.3000000000000000E+31
284018401.0000,.3000000000000000E+31
285333301.0000,.3000000000000000E+31
286648201.0000,.3000000000000000E+31
287963101.0000,.3000000000000000E+31
289278001.0000,.3000000000000000E+31
290592901.0000,.3000000000000000E+31
291907801.0000,.3000000000000000E+31
293222701.0000,.3000000000000000E+31
294537601.0000,.3000000000000000E+31
295852501.0000,.3000000000000000E+31
297167401.0000,.3000000000000000E+31
298482301.0000,.3000000000000000E+31
299797201.0000,.3000000000000000E+31
301112101.0000,.3000000000000000E+31
302427001.0000,.3000000000000000E+31
303741901.0000,.3000000000000000E+31
305056801.0000,.3000000000000000E+31
306371701.0000,.3000000000000000E+31
307686601.0000,.3000000000000000E+31
309001501.0000,.3000000000000000E+31
310316401.0000,.3000000000000000E+31
311631301.0000,.3000000000000000E+31
312946201.0000,.3000000000000000E+31
314261101.0000,.3000000000000000E+31
315576001.0000,.3000000000000000E+31
316890901.0000,.3000000000000000E+31
318205801.0000,.3000000000000000E+31
319520701.0000,.3000000000000000E+31
320835601.0000,.3000000000000000E+31
322150501.0000,.3000000000000000E+31
323465401.0000,.3000000000000000E+31
324780301.0000,.3000000000000000E+31
326095201.0000,.3000000000000000E+31
327410101.0000,.3000000000000000E+31
328725001.0000,.3000000000000000E+31
330039901.0000,.3000000000000000E+31
331354801.0000,.3000000000000000E+31
332669701.0000,.3000000000000000E+31
333984601.0000,.3000000000000000E+31
335299501.0000,.3000000000000000E+31
336614401.0000,.3000000000000000E+31
337929301.0000,.3000000000000000E+31
339244201.0000,.3000000000000000E+31
340559101.0000,.3000000000000000E+31
